Intrusions_Tabberabberan,MetamorphicFacies_Benambran,MetamorphicFacies_KanimblanTablelands,MetamorphicFacies_Tabberabberan,RockUnits_CSP,RockUnits_LAO
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Sand,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siltstone
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Mafic igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Mafic igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Mafic igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Pyroclastic rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siltstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Limestone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzodiorite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzodiorite
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Monzodiorite,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Monzodiorite
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Monzonite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sedimentary rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Mafic igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Mafic igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Mafic igneous rock,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Limestone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Phyllite
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Phyllite
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Clastic sediment,Sandstone
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Sand,Shale
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Sand,Shale
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Hornblendite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clay,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siliciclastic sedimentary rock
Igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Basalt
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Basalt
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siltstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sedimentary rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Limestone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Rhyolite
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Sand,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Sand,Shale
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Sand,Shale
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Ultramafic igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Ultramafic igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clay,Sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clay,Siliciclastic sedimentary rock
Igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Basalt
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Sand,Sandstone
Igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siltstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siltstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Chert
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Siltstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Limestone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Rhyolite
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Mudstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Monzonite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Schist
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Null,Schist
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Pyroclastic rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clay,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siliciclastic sedimentary rock
Igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Sand,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clay,Siltstone
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sedimentary rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Sand,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Igneous rock
Igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Limestone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Limestone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Rhyolite
Null,Subgreenschist facies,Greenschist facies,Greenschist facies,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Greenschist facies,Upper Greenschist,Null,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Upper Greenschist,Null,Rhyolite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Shale
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Monzonite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Pyroclastic rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siliciclastic sedimentary rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Siliciclastic sedimentary rock
Igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Sand,Igneous rock
Igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Sand,Igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Sand,Shale
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Sand,Shale
Igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Sand,Igneous rock
Igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clay,Igneous rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Gravel,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Gravel,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Silt,Granite
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sedimentary rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Igneous rock,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Limestone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Limestone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Andesite
